CAT_MED;CAT_SERV;QUANT;
AT_LIGA_0015_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0015_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0015_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0015_2;AT_SLIG_0015_W;1.000;
AT_LIGA_0016_2;AT_MBUC_0017_W;1.000;
AT_LIGA_0016_2;AT_MCOT_0014_W;1.000;
AT_LIGA_0016_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0016_2;AT_MNIP_0028_W;1.000;
AT_LIGA_0016_2;AT_MTFL_0003_W;1.000;
AT_LIGA_0016_2;AT_MVAL_0019_W;1.000;
AT_LIGA_0016_2;AT_SLIG_0016_W;1.000;
AT_LIGA_0017_2;AT_SLIG_0017_W;1.000;
AT_LIGA_0018_2;AT_MVAL_0017_W;1.000;
AT_LIGA_0018_2;AT_SLIG_0018_W;1.000;
AT_LIGA_0019_2;AT_MCOT_0013_W;1.000;
AT_LIGA_0019_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0019_2;AT_MTFL_0004_W;1.000;
AT_LIGA_0019_2;AT_MVAL_0027_W;1.000;
AT_LIGA_0019_2;AT_SLIG_0019_W;1.000;
AT_LIGA_0020_2;AT_MCOT_0014_W;1.000;
AT_LIGA_0020_2;AT_MCOT_0015_W;1.000;
AT_LIGA_0020_2;AT_MNIP_0027_W;1.000;
AT_LIGA_0020_2;AT_MNIP_0028_W;1.000;
AT_LIGA_0020_2;AT_MTFL_0003_W;1.000;
AT_LIGA_0020_2;AT_SLIG_0020_W;1.000;
AT_LIGA_0021_2;AT_SLIG_0024_W;1.000;
AT_LIGA_0022_2;AT_SLIG_0025_W;1.000;
AT_PLUG_0001_2;AT_MPLU_0006_W;1.000;
AT_PLUG_0001_2;AT_SPLU_0001_W;1.000;
AT_REGU_0004_2;AT_SRER_0002_W;1.000;
AT_REGU_0005_2;AT_SRER_0002_W;1.000;
AT_REGU_0006_2;AT_SRER_0002_W;1.000;
AT_REGU_0007_2;AT_SRER_0001_W;1.000;
AT_REGU_0008_2;AT_SRER_0010_W;1.000;
AT_REGU_0009_2;AT_SRER_0002_W;1.000;
AT_REGU_0010_2;AT_SRER_0002_W;1.000;
AT_REGU_0011_2;AT_SRER_0001_W;1.000;
AT_REGU_0012_2;AT_SRER_0002_W;1.000;
AT_REGU_0013_2;AT_SRER_0002_W;1.000;
AT_REGU_0015_2;AT_SRER_0001_W;1.000;
AT_REPA_0001_2;AT_SREP_0001_W;1.000;
AT_REPA_0002_2;AT_SREP_0002_W;1.000;
AT_REPA_0003_2;AT_SREP_0003_W;1.000;
AT_REPA_0004_2;AT_SREP_0004_W;1.000;
AT_REPA_0005_2;AT_SREP_0005_W;1.000;
AT_REPA_0006_2;AT_SREP_0006_W;1.000;
AT_REPA_0007_2;AT_SREP_0007_W;1.000;
AT_REPA_0008_2;AT_SREP_0008_W;1.000;
AT_REPA_0009_2;AT_SREP_0009_W;1.000;
AT_REPA_0010_2;AT_SREP_0010_W;1.000;
AT_REPA_0010_2;AT_STRO_0037_W;1.000;
AT_REPA_0011_2;AT_SREP_0011_W;1.000;
AT_REPA_0012_2;AT_SREP_0012_W;1.000;
AT_REPA_0013_2;AT_SREP_0013_W;1.000;
AT_REPA_0013_2;AT_STRO_0035_W;1.000;
AT_REPA_0014_2;AT_SREP_0014_W;1.000;
AT_REPA_0015_2;AT_SREP_0015_W;1.000;
AT_REPA_0016_2;AT_SREP_0016_W;1.000;
AT_REPA_0017_2;AT_SREP_0017_W;1.000;
AT_REPA_0018_2;AT_SREP_0018_W;1.000;
AT_REPA_0024_2;AT_SINS_0041_W;1.000;
AT_REPA_0024_2;AT_SREP_0024_W;1.000;
AT_REPA_0026_2;AT_SREP_0026_W;1.000;
AT_REPA_0027_2;AT_SREP_0027_W;1.000;
AT_REPA_0059_2;AT_SREP_0059_W;1.000;
AT_REPA_0060_2;AT_SREP_0060_W;1.000;
AT_REPA_0060_2;AT_STRO_0036_W;1.000;
AT_REPA_0061_2;AT_SREP_0061_W;1.000;
AT_REPA_0062_2;AT_SREP_0062_W;1.000;
AT_TAXA_0001_2;AT_STXV_0001_W;1.000;
AT_TROC_0003_2;AT_SRCP_0005_W;1.000;
AT_TROC_0003_2;AT_STRO_0008_W;1.000;
AT_TROC_0004_2;AT_MTFL_0004_W;1.000;
AT_TROC_0004_2;AT_STRO_0012_W;1.000;
AT_TROC_0011_2;AT_MVAL_0017_W;1.000;
AT_TROC_0011_2;AT_STRO_0025_W;1.000;
AT_TROC_0016_2;AT_STRO_0030_W;1.000;
AT_TROC_0017_2;AT_STRO_0032_W;1.000;
AT_TROC_0018_2;AT_STRO_0033_W;1.000;
AT_TROC_0019_2;AT_STRO_0034_W;1.000;
AT_TROC_0020_2;AT_STRO_0007_W;1.000;
AT_TROC_0021_2;AT_SINS_0033_W;1.000;
AT_TROC_0021_2;AT_STRO_0039_W;1.000;
AT_TROC_0022_2;AT_SINS_0034_W;1.000;
AT_TROC_0023_2;AT_SINS_0037_W;1.000;
AT_TROC_0023_2;AT_STRO_0038_W;1.000;
AT_TROC_0024_2;AT_SINS_0038_W;1.000;
AT_TROE_0001_2;AT_STRE_0001_W;1.000;
AT_TROE_0002_2;AT_STRE_0002_W;1.000;
AT_TROE_0003_2;AT_SRCP_0002_W;1.000;
AT_TROE_0003_2;AT_STRE_0003_W;1.000;
AT_TROE_0004_2;AT_STRE_0004_W;1.000;
AT_TROE_0005_2;AT_STRE_0006_W;1.000;
DL_BLOQ_0001_2;DL_SBLO_0001_W;1.000;
DL_BLOQ_0001_2;DL_SBLO_0005_W;1.000;
DL_BLOQ_0002_2;DL_SBLO_0010_W;1.000;
DL_RETE_0001_2;DL_SRTE_0001_W;1.000;
DL_RETE_0002_2;DL_SRTE_0002_W;1.000;
DL_RETE_0003_2;DL_SRTE_0003_W;1.000;
EM_FAGA_0001_2;EM_SELI_0003_W;1.000;
EM_FAGA_0002_2;EM_SELI_0002_W;1.000;
EM_TROC_0003_2;EM_STRO_0008_W;1.000;
EM_TROC_0004_2;EM_MFLX_0004_W;1.000;
EM_TROC_0004_2;EM_MTFL_0004_W;1.000;
EM_TROC_0004_2;EM_MTUB_0070_W;1.000;
EM_TROC_0004_2;EM_STRO_0012_W;1.000;
EM_TROC_0011_2;EM_MVAL_0017_W;1.000;
EM_TROC_0011_2;EM_MVAV_0002_W;1.000;
EM_TROC_0011_2;EM_STRO_0025_W;1.000;
EM_TROC_0016_2;EM_STRO_0030_W;1.000;
EM_TROC_0017_2;EM_STRO_0032_W;1.000;
EM_TROC_0018_2;EM_STRO_0033_W;1.000;
EM_TROC_0019_2;EM_STRO_0034_W;1.000;
EM_TROC_0020_2;EM_STRO_0007_W;1.000;
EM_TROC_0021_2;EM_STRO_0039_W;1.000;
EM_TROC_0023_2;EM_STRO_0038_W;1.000;
EM_VAZA_0001_2;EM_SELI_0004_W;1.000;
EM_VAZA_0002_2;EM_SELI_0001_W;1.000;
IL_ABRI_0001_2;IL_SNMI_0001_W;1.000;
IL_COLE_0001_2;IL_SNMI_0002_W;1.000;
IL_COLE_0006_2;IL_SINS_0030_W;1.000;
IL_COLO_0001_2;IL_MEST_0001_W;1.000;
IL_COLO_0001_2;IL_SCOL_0001_W;1.000;
IL_COLO_0001_2;IL_SNMI_0005_W;1.000;
IL_COLO_0003_2;IL_SCOL_0002_W;1.000;
IL_COLO_0003_2;IL_SCOL_0004_W;1.000;
IL_COLO_0003_2;IL_SCOL_0005_W;1.000;
IL_COLO_0003_2;IL_SNAD_0010_W;1.000;
IL_COLO_0003_2;IL_SNAD_0011_W;1.000;
IL_COLO_0003_2;IL_SNAD_0012_W;1.000;
IL_COLO_0003_2;IL_SRAD_0011_W;1.000;
IL_COLO_0003_2;IL_SRAD_0012_W;1.000;
IL_COLO_0003_2;IL_SRAD_0013_W;1.000;
IL_COLO_0004_2;IL_SCOL_0006_W;1.000;
IL_COLO_0005_2;IL_SCOL_0010_W;1.000;
IL_COLO_0007_2;IL_SCOL_0011_W;1.000;
IL_CONV_0001_2;IL_SNCA_0001_W;1.000;
IL_CONV_0002_2;IL_SNCA_0002_W;1.000;
IL_CONV_0003_2;IL_SNCA_0003_W;1.000;
IL_CONV_0004_2;IL_SNCA_0005_W;1.000;
